id,State (group),Charge (group),file matches parameter,Region,Charge/Gender,Country,File,File by parameter,State,Title 1,Year,Year1,All state count,Count,Per state count,state %,FromYear
353,AZ,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,264,264,0.03181873,2017
354,TX,Religion,True,South,Religion,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,317,317,0.09225844,2017
355,OR,Disability Based,True,West,Disability,US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,89,89,0.003312737,2017
356,OR,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,71,71,0.002217364,2017
357,GU,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,2,2,0.002008032,2017
358,CA,Disability Based,True,West,Disability,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,1915,1915,0.071279684,2017
359,OH,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,624,624,0.033964729,2017
360,MH,Disability Based,True,Territories/Armed Forces,Disability,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,0,0,0.0,2017
361,NV,Religion,True,West,Religion,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,44,44,0.012805588,2017
362,KS,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,372,372,0.009052637,2017
363,SD,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,4,4,0.001164144,2017
364,CA,Color Based,True,West,Color,US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,190,190,0.058641975,2017
365,MT,Race,True,West,Race,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,3,3,0.000105171,2017
366,AP,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,0,0,0.0,2017
367,LA,Sex,True,South,Sex,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,468,468,0.018280536,2017
368,AZ,Age Based,True,West,Age,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,429,429,0.023350751,2017
369,TN,Color Based,True,South,Color,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,61,61,0.01882716,2017
370,IA,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,IA,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,0,0,0.0,2017
371,OH,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,28,28,0.02811245,2017
372,KY,Color Based,True,South,Color,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,31,31,0.009567901,2017
373,NE,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,29,29,0.001079431,2017
374,OH,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,1083,1083,0.026354854,2017
375,MN,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,314,314,0.011687635,2017
376,RI,Color Based,True,Northeast,Color,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,2,2,0.000617284,2017
377,AP,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,1,1,2.43350449e-05,2017
378,VI,Age Based,True,Territories/Armed Forces,Age,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,1,1,5.443065535e-05,2017
379,KY,Religion,True,South,Religion,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,40,40,0.011641444,2017
380,AS,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,1,1,3.906097418e-05,2017
381,AS,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,2,2,4.86700898e-05,2017
382,PR,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,83,83,0.003242061,2017
383,MP,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,12,12,0.003703704,2017
384,VI,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,0,0,0.0,2017
385,KS,Race,True,Midwest,Race,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,198,198,0.00694128,2017
386,IN,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,IN,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,76,76,0.022118743,2017
387,MO,Race,True,Midwest,Race,US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,755,755,0.026468011,2017
388,GU,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,15,15,0.000365026,2017
389,OR,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,29,29,0.003495239,2017
390,ME,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,ME,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,21,21,0.000781657,2017
391,KY,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,350,350,0.008517266,2017
392,NY,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,1052,1052,0.039157299,2017
393,MD,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,MD,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,254,254,0.030613475,2017
394,MD,Age Based,True,South,Age,US,State Receipts,State Receipts,MD,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,431,431,0.023459612,2017
395,WI,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,242,242,0.009452756,2017
396,TX,Disability Based,True,South,Disability,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,2642,2642,0.098339909,2017
397,WA,Sex,True,West,Sex,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,361,361,0.014101012,2017
398,NV,Sex,True,West,Sex,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,330,330,0.012890121,2017
399,WV,Race,True,South,Race,US,State Receipts,State Receipts,WV,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,30,30,0.001051709,2017
400,WA,Color Based,True,West,Color,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,72,72,0.022222222,2017
401,KS,GINA,True,Midwest,GINA,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,4,4,0.019417476,2017
402,KS,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,50,50,0.006026275,2017
403,NC,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,1432,1432,0.044722049,2017
404,WQ,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,0,0,0.0,2017
405,AR,Color Based,True,South,Color,US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,34,34,0.010493827,2017
406,NH,Sex,True,Northeast,Sex,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,31,31,0.00121089,2017
407,MT,Disability Based,True,West,Disability,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,12,12,0.000446661,2017
408,AL,Color Based,True,South,Color,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,60,60,0.018518519,2017
409,MS,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,17,17,0.017068273,2017
410,GA,Color Based,True,South,Color,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,147,147,0.04537037,2017
411,AL,GINA,True,South,GINA,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,3,3,0.014563107,2017
412,AP,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,Armed Forces Pacific,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,1,1,3.906097418e-05,2017
413,MH,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,0,0,0.0,2017
414,VT,Age Based,True,Northeast,Age,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,14,14,0.000762029,2017
415,AK,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,12,12,0.001446306,2017
416,NJ,Color Based,True,Northeast,Color,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,47,47,0.014506173,2017
417,NV,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,11,11,0.011044177,2017
418,WI,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,25,25,0.007716049,2017
419,FL,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,1066,1066,0.128480174,2017
420,VT,Religion,True,Northeast,Religion,US,State Receipts,State Receipts,VT,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,3,3,0.000873108,2017
421,WY,Race,True,West,Race,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,5,5,0.000175285,2017
422,TX,Age Based,True,South,Age,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,1975,1975,0.107500544,2017
423,HI,Religion,True,West,Religion,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,6,6,0.001746217,2017
424,DE,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,14,14,0.001687357,2017
425,ND,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,22,22,0.000687071,2017
426,NC,Disability Based,True,South,Disability,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,1210,1210,0.045038338,2017
427,MI,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,MI,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,986,986,0.023994354,2017
428,UT,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,135,135,0.003285231,2017
429,PR,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,15,15,0.001807882,2017
430,LA,Disability Based,True,South,Disability,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,409,409,0.015223703,2017
431,AL,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,1107,1107,0.026938895,2017
432,NJ,Race,True,Northeast,Race,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,533,533,0.018685364,2017
433,PR,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,117,117,0.0028472,2017
434,TN,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,112,112,0.013498855,2017
435,MH,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,MH,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,0,0,0.0,2017
436,WA,Religion,True,West,Religion,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,75,75,0.021827707,2017
437,LA,Race,True,South,Race,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,684,684,0.023978966,2017
438,FM,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,0,0,0.0,2017
439,MO,Age Based,True,Midwest,Age,US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,588,588,0.032005225,2017
440,MP,Sex,True,Territories/Armed Forces,Sex,US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,8,8,0.000312488,2017
441,AZ,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,28,28,0.02811245,2017
442,VA,Disability Based,True,South,Disability,US,State Receipts,State Receipts,VA,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,864,864,0.032159607,2017
443,CT,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,CT,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,5,5,0.00502008,2017
444,SD,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,0,0,0.0,2017
445,WY,Color Based,True,West,Color,US,State Receipts,State Receipts,WY,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,1,1,0.000308642,2017
446,SD,TVII Retaliation,True,Midwest,Retaliation (TVII),US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,29,29,0.000905684,2017
447,NM,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,158,158,0.019043028,2017
448,SD,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,49,49,0.001192417,2017
449,FL,Sex,True,South,Sex,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,2041,2041,0.079723448,2017
450,AS,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,0,0,0.0,2017
451,CO,Disability Based,True,West,Disability,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,588,588,0.021886399,2017
452,SD,National Origin Based,True,Midwest,National Origin,US,State Receipts,State Receipts,SD,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,9,9,0.001084729,2017
453,ND,Race,True,Midwest,Race,US,State Receipts,State Receipts,ND,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,21,21,0.000736196,2017
454,MN,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,460,460,0.011194121,2017
455,WI,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,WI,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,309,309,0.011501526,2017
456,GA,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,1943,1943,0.060680824,2017
457,AK,Disability Based,True,West,Disability,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,36,36,0.001339984,2017
458,GA,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,GA,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,334,334,0.040255514,2017
459,MN,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,200,200,0.007812195,2017
460,MO,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,MO,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,1172,1172,0.028520673,2017
461,AR,Sex,True,South,Sex,US,State Receipts,State Receipts,AR,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,439,439,0.017147768,2017
462,MN,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,MN,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,30,30,0.008731083,2017
463,AL,Sex,True,South,Sex,US,State Receipts,State Receipts,AL,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,888,888,0.034686145,2017
464,MI,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,MI,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,831,831,0.030931289,2017
465,TN,Religion,True,South,Religion,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,95,95,0.027648428,2017
466,NH,Retaliation,True,Northeast,Retaliation (All Statutes),US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,33,33,0.000803056,2017
467,OK,TVII Retaliation,True,South,Retaliation (TVII),US,State Receipts,State Receipts,OK,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,458,458,0.01430356,2017
468,AK,Age Based,True,West,Age,US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,27,27,0.001469628,2017
469,WA,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,616,616,0.014990388,2017
470,NC,Retaliation,True,South,Retaliation (All Statutes),US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,1854,1854,0.045117173,2017
471,AS,Disability Based,True,Territories/Armed Forces,Disability,US,State Receipts,State Receipts,AS,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,1,1,3.722176729e-05,2017
472,HI,Disability Based,True,West,Disability,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,110,110,0.004094394,2017
473,NM,GINA,True,West,GINA,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,2,2,0.009708738,2017
474,FL,Race,True,South,Race,US,State Receipts,State Receipts,FL,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,2153,2153,0.075477651,2017
475,GU,National Origin Based,True,Territories/Armed Forces,National Origin,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,10,10,0.001205255,2017
476,LA,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,LA,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,20,20,0.020080321,2017
477,FM,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,0,0,0.0,2017
478,GU,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,GU,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,0,0,0.0,2017
479,NV,Age Based,True,West,Age,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,236,236,0.012845635,2017
480,CO,Age Based,True,West,Age,US,State Receipts,State Receipts,CO,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,463,463,0.025201393,2017
481,RI,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,3,3,0.000361576,2017
482,TN,GINA,True,South,GINA,US,State Receipts,State Receipts,TN,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,3,3,0.014563107,2017
483,CA,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,CA,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,2752,2752,0.066970044,2017
484,KS,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,29,29,0.008950617,2017
485,HI,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,47,47,0.005664698,2017
486,KY,EPA,True,South,Equal Pay Act,US,State Receipts,State Receipts,KY,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,5,5,0.00502008,2017
487,DC,Religion,True,South,Religion,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,34,34,0.009895227,2017
488,DC,National Origin Based,True,South,National Origin,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,80,80,0.009642039,2017
489,VI,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,VI,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,1,1,0.000308642,2017
490,IL,Color Based,True,Midwest,Color,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,143,143,0.044135802,2017
491,WA,GINA,True,West,GINA,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,7,7,0.033980583,2017
492,FM,Race,True,Territories/Armed Forces,Race,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,1,1,3.505696757e-05,2017
493,FM,GINA,True,Territories/Armed Forces,GINA,US,State Receipts,State Receipts,FM,EEOC Charge Receipts by State,FY 2017 GINA,1/1/2017,206,0,0,0.0,2017
494,DE,Retaliation,True,Northeast,Retaliation (All Statutes),US,State Receipts,State Receipts,DE,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,60,60,0.001460103,2017
495,MS,Sex,True,South,Sex,US,State Receipts,State Receipts,MS,EEOC Charge Receipts by State,FY 2017 Sex,1/1/2017,25601,556,556,0.021717902,2017
496,UT,Age Based,True,West,Age,US,State Receipts,State Receipts,UT,EEOC Charge Receipts by State,FY 2017 Age,1/1/2017,18372,52,52,0.002830394,2017
497,HI,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2017 TVII Retaliation,1/1/2017,32020,109,109,0.003404122,2017
498,RI,EPA,True,Northeast,Equal Pay Act,US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,1,1,0.001004016,2017
499,WQ,Religion,True,Territories/Armed Forces,Religion,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2017 Religion,1/1/2017,3436,0,0,0.0,2017
500,NC,Color Based,True,South,Color,US,State Receipts,State Receipts,NC,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,114,114,0.035185185,2017
501,KS,Disability Based,True,Midwest,Disability,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,213,213,0.007928236,2017
502,WA,Disability Based,True,West,Disability,US,State Receipts,State Receipts,WA,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,446,446,0.016600908,2017
503,NV,Disability Based,True,West,Disability,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,322,322,0.011985409,2017
504,OH,Race,True,Midwest,Race,US,State Receipts,State Receipts,OH,EEOC Charge Receipts by State,FY 2017 Race,1/1/2017,28525,825,825,0.028921998,2017
505,MP,Retaliation,True,Territories/Armed Forces,Retaliation (All Statutes),US,State Receipts,State Receipts,MP,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,12,12,0.000292021,2017
506,NY,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,NY,EEOC Charge Receipts by State,FY 2017 National Origin,1/1/2017,8297,577,577,0.069543208,2017
507,NJ,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2017 Disability,1/1/2017,26866,510,510,0.018983101,2017
508,PR,Color Based,True,Territories/Armed Forces,Color,US,State Receipts,State Receipts,PR,EEOC Charge Receipts by State,FY 2017 Color,1/1/2017,3240,10,10,0.00308642,2017
509,NE,Retaliation,True,Midwest,Retaliation (All Statutes),US,State Receipts,State Receipts,NE,EEOC Charge Receipts by State,FY 2017 Retaliation All Statutes,1/1/2017,41093,31,31,0.000754386,2017
510,MI,EPA,True,Midwest,Equal Pay Act,US,State Receipts,State Receipts,MI,EEOC Charge Receipts by State,FY 2017 EPA,1/1/2017,996,35,35,0.035140562,2017
